order_id,fecha,producto_id,cantidad,precio_unitario,cliente_id,tienda_id,venta_total,categoria_venta,categoria,subcategoria,marca,ciudad,region,area_m2,gerente,anio,mes,dia_semana
1001,2024-03-15,P123,2,15.5,C001,T005,31.0,Media,Electrónicos,Smartphones,Samsung,Cartagena,Bolívar,300,Laura Ramírez,2024,3,Viernes
1002,2024-03-15,P456,1,25.0,C002,T003,25.0,Media,Hogar,Electrodomésticos,LG,Cali,Valle,400,Ana Martínez,2024,3,Viernes
1003,2024-03-16,P789,3,10.0,CLIENTE_DESCONOCIDO,T001,30.0,Media,Alimentos,Bebidas,Coca-Cola,Bogotá,Cundinamarca,500,María González,2024,3,Sábado
1004,2024-03-16,P123,1,15.5,C003,T002,15.5,Baja,Electrónicos,Smartphones,Samsung,Medellín,Antioquia,450,Carlos Rodríguez,2024,3,Sábado
1005,2024-03-17,P999,2,30.0,C004,T004,60.0,Alta,Electrónicos,Tablets,Apple,Barranquilla,Atlántico,350,Pedro López,2024,3,Domingo
1006,2024-03-17,P321,1,45.0,C005,T001,45.0,Media,Ropa,Calzado,Nike,Bogotá,Cundinamarca,500,María González,2024,3,Domingo
1007,2024-03-18,P456,2,25.0,C001,T003,50.0,Alta,Hogar,Electrodomésticos,LG,Cali,Valle,400,Ana Martínez,2024,3,Lunes
1008,2024-03-18,P123,5,15.5,C006,T005,77.5,Alta,Electrónicos,Smartphones,Samsung,Cartagena,Bolívar,300,Laura Ramírez,2024,3,Lunes
1009,2024-03-19,P789,4,10.0,C007,T001,40.0,Media,Alimentos,Bebidas,Coca-Cola,Bogotá,Cundinamarca,500,María González,2024,3,Martes
1010,2024-03-20,P999,1,30.0,C008,T004,30.0,Media,Electrónicos,Tablets,Apple,Barranquilla,Atlántico,350,Pedro López,2024,3,Miércoles
1011,2024-03-20,P321,2,45.0,C009,T001,90.0,Alta,Ropa,Calzado,Nike,Bogotá,Cundinamarca,500,María González,2024,3,Miércoles
1012,2024-03-15,P123,3,15.5,C010,T002,46.5,Media,Electrónicos,Smartphones,Samsung,Medellín,Antioquia,450,Carlos Rodríguez,2024,3,Viernes
1013,2024-03-21,P456,1,25.0,CLIENTE_DESCONOCIDO,T003,25.0,Media,Hogar,Electrodomésticos,LG,Cali,Valle,400,Ana Martínez,2024,3,Jueves
1014,2024-03-22,P789,2,10.0,C011,T001,20.0,Media,Alimentos,Bebidas,Coca-Cola,Bogotá,Cundinamarca,500,María González,2024,3,Viernes
1015,2024-03-23,P321,1,45.0,C012,T001,45.0,Media,Ropa,Calzado,Nike,Bogotá,Cundinamarca,500,María González,2024,3,Sábado
